shi_cd,date,daily_total_mm
2,2015-05-04,2.6000
2,2015-05-03,0.0000
2,2015-05-02,0.0000
2,2015-05-01,0.0000
2,2015-04-30,7.0000
2,2015-04-29,0.4000
2,2015-04-28,0.0000
2,2015-04-27,0.0000
2,2015-04-26,6.6000
2,2015-04-25,0.0000
2,2015-06-14,0.0000
2,2015-06-13,0.0000
2,2015-06-12,0.0000
2,2015-06-11,0.0000
2,2015-06-10,0.0000
2,2015-06-09,0.0000
2,2015-06-08,0.0000
2,2015-06-07,0.0000
2,2015-06-06,0.0000
2,2015-06-05,0.0000
2,2015-06-15,10.0000
2,2015-06-18,0.0000
2,2015-06-17,0.0000
2,2015-06-16,14.6000
2,2015-09-07,0.0000
2,2015-09-06,0.0000
2,2015-09-05,3.0000
2,2015-09-04,0.8000
2,2015-09-03,0.2000
2,2015-09-02,1.4000
2,2015-09-01,1.4000
2,2015-08-31,0.0000
2,2015-08-30,0.0000
2,2015-08-29,0.0000
2,2015-09-10,0.2000
2,2015-09-09,4.2000
2,2015-09-08,11.4000
2,2015-09-11,11.6000
2,2015-09-12,15.4000
2,2015-09-26,0.0000
2,2015-09-25,0.0000
2,2015-09-24,0.0000
2,2015-09-23,0.0000
2,2015-09-22,0.0000
2,2015-09-21,0.0000
2,2015-09-20,0.0000
2,2015-09-19,0.0000
2,2015-09-18,0.0000
2,2015-09-17,0.0000
2,2015-11-01,0.2000
2,2015-10-31,0.0000
2,2015-10-30,1.2000
2,2015-10-29,1.6000
2,2015-10-28,0.6000
2,2015-10-27,0.0000
2,2015-10-26,0.0000
2,2015-10-25,0.0000
2,2015-10-24,0.0000
2,2015-10-23,0.0000
2,2015-11-06,7.4000
2,2015-11-05,2.0000
2,2015-11-04,7.2000
2,2015-11-03,6.0000
2,2015-11-02,12.0000
2,2015-11-20,0.2000
2,2015-11-19,0.0000
2,2015-11-18,0.2000
2,2015-11-17,0.0000
2,2015-11-16,0.0000
2,2015-11-15,6.6000
2,2015-11-14,0.0000
2,2015-11-13,0.0000
2,2015-11-12,0.0000
2,2015-11-11,0.0000
2,2015-11-22,0.0000
2,2015-11-21,26.0000
2,2015-11-27,0.0000
2,2015-11-26,0.4000
2,2015-11-25,0.0000
2,2015-11-24,0.2000
2,2015-11-23,18.6000
2,2015-11-29,6.8000
2,2015-11-28,13.0000
2,2015-12-05,0.0000
2,2015-12-04,0.0000
2,2015-12-03,0.2000
2,2015-12-02,0.0000
2,2015-12-01,1.0000
2,2015-11-30,14.0000
2,2015-12-06,11.6000
2,2015-12-11,0.0000
2,2015-12-10,0.0000
2,2015-12-09,0.0000
2,2015-12-08,1.4000
2,2015-12-07,21.6000
2,2015-12-31,0.0000
2,2015-12-30,0.0000
2,2015-12-29,0.2000
2,2015-12-28,0.2000
2,2015-12-27,0.2000
2,2015-12-26,0.0000
2,2015-12-25,0.0000
2,2015-12-24,0.0000
2,2015-12-23,0.0000
2,2015-12-22,0.0000
2,2016-01-12,4.6000
2,2016-01-11,0.6000
2,2016-01-10,0.0000
2,2016-01-09,0.4000
2,2016-01-08,0.0000
2,2016-01-07,0.0000
2,2016-01-06,0.0000
2,2016-01-05,0.0000
2,2016-01-04,0.2000
2,2016-01-03,0.8000
2,2016-01-13,22.4000
2,2016-01-14,16.2000
2,2016-01-15,27.2000
2,2016-01-18,0.6000
2,2016-01-17,0.0000
2,2016-01-16,48.2000
2,2016-02-14,0.0000
2,2016-02-13,0.0000
2,2016-02-12,0.0000
2,2016-02-11,3.6000
2,2016-02-10,0.0000
2,2016-02-09,0.0000
2,2016-02-08,0.0000
2,2016-02-07,0.0000
2,2016-02-06,0.0000
2,2016-02-05,0.0000
2,2016-02-16,2.0000
2,2016-02-15,23.2000
2,2016-02-20,0.0000
2,2016-02-19,7.2000
2,2016-02-18,2.8000
2,2016-02-17,17.2000
2,2016-02-24,0.0000
2,2016-02-23,0.0000
2,2016-02-22,0.0000
2,2016-02-21,17.4000
2,2016-02-28,0.0000
2,2016-02-27,0.0000
2,2016-02-26,0.0000
2,2016-02-25,23.4000
2,2016-03-11,1.4000
2,2016-03-10,0.0000
2,2016-03-09,0.0000
2,2016-03-08,0.0000
2,2016-03-07,0.0000
2,2016-03-06,1.4000
2,2016-03-05,0.0000
2,2016-03-04,0.8000
2,2016-03-03,0.0000
2,2016-03-02,0.4000
2,2016-03-15,0.0000
2,2016-03-14,0.0000
2,2016-03-13,0.0000
2,2016-03-12,28.8000
2,2016-03-22,0.0000
2,2016-03-21,0.0000
2,2016-03-20,0.0000
2,2016-03-19,0.0000
2,2016-03-18,0.0000
2,2016-03-17,0.2000
2,2016-03-16,17.8000
2,2016-05-17,0.2000
2,2016-05-16,0.0000
2,2016-05-15,0.0000
2,2016-05-14,0.8000
2,2016-05-13,6.0000
2,2016-05-12,5.2000
2,2016-05-11,0.0000
2,2016-05-10,0.0000
2,2016-05-09,0.0000
2,2016-05-08,0.0000
2,2016-06-04,1.2000
2,2016-06-03,2.8000
2,2016-06-02,3.2000
2,2016-06-01,0.0000
2,2016-05-31,0.0000
2,2016-05-30,0.6000
2,2016-05-29,0.0000
2,2016-05-28,0.0000
2,2016-05-27,0.0000
2,2016-05-26,0.0000
2,2016-06-06,1.2000
2,2016-06-05,31.2000
2,2016-08-20,1.6000
2,2016-08-19,0.4000
2,2016-08-18,0.0000
2,2016-08-17,0.0000
2,2016-08-16,0.0000
2,2016-08-15,0.6000
2,2016-08-14,0.0000
2,2016-08-13,0.0000
2,2016-08-12,0.8000
2,2016-08-11,0.0000
2,2016-08-30,0.0000
2,2016-08-29,0.0000
2,2016-08-28,0.0000
2,2016-08-27,0.0000
2,2016-08-26,0.0000
2,2016-08-25,0.0000
2,2016-08-24,0.0000
2,2016-08-23,0.0000
2,2016-08-22,8.6000
2,2016-08-21,13.6000
2,2016-09-19,1.4000
